Name,Role,BibNumber
James Anderson,Leader,101
Michael Thompson,Leader,102
William Davis,Leader,103
Christopher Wilson,Leader,104
Daniel Martinez,Leader,105
Joseph Taylor,Leader,106
David Brown,Leader,107
Robert Johnson,Leader,108
Thomas Moore,Leader,109
Richard Garcia,Leader,110
Sarah Johnson,Follower,201
Emily Williams,Follower,202
Emma Jones,Follower,203
Olivia Brown,Follower,204
Ava Davis,Follower,205
Isabella Wilson,Follower,206
Sophia Martinez,Follower,207
Mia Anderson,Follower,208
Charlotte Taylor,Follower,209 
